# x86 instruction set description version 0.2, 2023-07-17
# Based on Intel Instruction Set Reference #325383-080US, June 2023.
# https://golang.org/x/arch/x86/x86spec
"AND r8, r/m8","ANDB r/m8, r8","andb r/m8, r8","REX 22 /r","N.E.","V","","pseudo64","","Y","8"
"ANDN r32a, r32b, r/m32","ANDNL r/m32, r32b, r32a","andnl r/m32, r32b, r32a","VEX.LZ.0F38.W0 F2 /r","V","V","BMI1","","","Y","32"
"ANDN r64a, r64b, r/m64","ANDNQ r/m64, r64b, r64a","andnq r/m64, r64b, r64a","VEX.LZ.0F38.W1 F2 /r","N.E.","V","BMI1","","","Y","64"
"ANDNPD xmm1, xmm2/m128","ANDNPD xmm2/m128, xmm1","andnpd xmm2/m128, xmm1","66 0F 55 /r","V","V","SSE2","","","",""
"ANDNPS xmm1, xmm2/m128","ANDNPS xmm2/m128, xmm1","andnps xmm2/m128, xmm1","NP 0F 55 /r","V","V","SSE","","","",""
"ANDPD xmm1, xmm2/m128","ANDPD xmm2/m128, xmm1","andpd xmm2/m128, xmm1","66 0F 54 /r","V","V","SSE2","","","",""
"ANDPS xmm1, xmm2/m128","ANDPS xmm2/m128, xmm1","andps xmm2/m128, xmm1","NP 0F 54 /r","V","V","SSE","","","",""
"ARPL r/m16, r16","ARPL r16, r/m16","arpl r16, r/m16","63 /r","V","N.E.","","","","",""
"BEXTR r32a, r/m32, r32b","BEXTRL r32b, r/m32, r32a","bextrl r32b, r/m32, r32a","VEX.LZ.0F38.W0 F7 /r","V","V","BMI1","","","Y","32"
"BEXTR r64a, r/m64, r64b","BEXTRQ r64b, r/m64, r64a","bextrq r64b, r/m64, r64a","VEX.LZ.0F38.W1 F7 /r","N.E.","V","BMI1","","","Y","64"
"BLENDPD xmm1, xmm2/m128, imm8","BLENDPD imm8, xmm2/m128, xmm1","blendpd imm8, xmm2/m128, xmm1","66 0F 3A 0D /r ib","V","V","SSE4_1","","","",""
"BLENDPS xmm1, xmm2/m128, imm8","BLENDPS imm8, xmm2/m128, xmm1","blendps imm8, xmm2/m128, xmm1","66 0F 3A 0C /r ib","V","V","SSE4_1","","","",""
"BLENDVPD xmm1, xmm2/m128, <XMM0>","BLENDVPD <XMM0>, xmm2/m128, xmm1","blendvpd <XMM0>, xmm2/m128, xmm1","66 0F 38 15 /r","V","V","SSE4_1","","","",""
"BLENDVPS xmm1, xmm2/m128, <XMM0>","BLENDVPS <XMM0>, xmm2/m128, xmm1","blendvps <XMM0>, xmm2/m128, xmm1","66 0F 38 14 /r","V","V","SSE4_1","","","",""
